Sign Asset ID,Asset Location ID,MUTCD Code,Sign Message,Asset Name,Asset Size,Asset Category,Asset Sub Category,Direction Facing,Sign Mount,Asset Condition,Asset Status,QC Status,QC Type,Asset Installation Date,Asset Removal Date,Data Collection Date,Created Date,Modified Date,Latitude,Longitude,Location
"794,713","794,746",R7-201P,TOW AWAY ZONE SYMBOL,Tow Away Zone Symbol,10 x 15 in,SIGN_REGULATORY,,E,1.0,1.0,1.0,QC Complete,Install,2024 Oct 10 02:39:00 PM,,,2024 Oct 11 12:45:45 PM,2024 Oct 16 07:05:05 PM,30.496368571573896,-97.7534868210258,POINT (-97.753486821026 30.496368571574)
"567,767","278,263",D3-1,SPRINGFIELD DR,Street Name,,SIGN_GUIDE,Street Name,NW,1.0,2.0,1.0,QC Complete,,,,2021 Nov 02 12:00:00 AM,2023 Jan 04 02:00:52 PM,2023 Mar 28 06:16:23 PM,30.16126914277455,-97.73047251031966,POINT (-97.73047251032 30.161269142775)
"542,308","267,886",,,Sign Post,,SIGN_POLE,,,1.0,2.0,1.0,QC Complete,,,,2021 Oct 23 12:00:00 AM,2023 Jan 03 08:25:21 PM,2023 Jan 05 04:28:26 PM,30.36516825014496,-97.79901422499128,POINT (-97.799014224991 30.365168250145)
"686,401","609,730",R7-201P,TOW-AWAY ZONE,Sign Post,,SIGN_REGULATORY,Uncategorized,SW,1.0,2.0,1.0,QC Complete,,,,2021 Jun 12 12:00:00 AM,2023 Oct 04 02:28:08 PM,2023 Dec 06 09:50:01 PM,30.27349001047917,-97.81158097280532,POINT (-97.811580972805 30.273490010479)
"655,153","601,311",Non-MUTCD,W WILLIAM CANNON DR,Wayfinding,,SIGN_GUIDE,Uncategorized,NE,2.0,2.0,1.0,QC Complete,,,,2021 Nov 14 12:00:00 AM,2023 Oct 04 01:54:28 PM,2023 Dec 06 09:50:01 PM,30.22249590548083,-97.8388421251812,POINT (-97.838842125181 30.222495905481)
"547,618","270,645",,,Sign Post,,SIGN_POLE,,,1.0,2.0,1.0,QC Complete,,,,2021 Nov 06 12:00:00 AM,2023 Jan 03 08:28:02 PM,2023 Jan 05 04:34:17 PM,30.29415644106167,-97.71831580912652,POINT (-97.718315809127 30.294156441062)
"224,537","193,260",R7-201P,TOW-AWAY ZONE,Sign Post,,SIGN_REGULATORY,Parking,S,1.0,2.0,1.0,QC Complete,,,,2021 Oct 11 12:00:00 AM,2022 Oct 20 09:06:25 PM,2023 Mar 28 06:16:23 PM,30.38609718912845,-97.71430974163296,POINT (-97.714309741633 30.386097189128)
"626,711","614,088",D3-1,COUNCIL RIDGE,Street Name,,SIGN_GUIDE,Street Name,NW,1.0,2.0,1.0,QC Complete,,,,2021 Nov 10 12:00:00 AM,2023 Oct 03 08:29:37 PM,2023 Oct 05 11:01:40 PM,30.236374591101203,-97.74748329141164,POINT (-97.747483291412 30.236374591101)
"663,607","621,965",D3-1,STONEOAK LN,Street Name,,SIGN_GUIDE,Street Name,SW,1.0,2.0,1.0,QC Complete,,,,2021 Nov 15 12:00:00 AM,2023 Oct 04 01:54:28 PM,2024 Jan 03 03:37:54 PM,30.19874851019858,-97.79780662481582,POINT (-97.797806624816 30.198748510199)
"565,485","277,266",W13-1P,30 MPH,Sign Post,,SIGN_WARNING,Horizontal Alignment,NE,1.0,2.0,1.0,QC Complete,,,,2021 Nov 02 12:00:00 AM,2023 Jan 04 02:00:52 PM,2023 Mar 28 06:16:23 PM,30.201170705878297,-97.7338229489375,POINT (-97.733822948937 30.201170705878)
"728,631","700,064",D3-1,E 46TH ST,Street Name,,SIGN_GUIDE,Street Name,NE,1.0,2.0,1.0,QC Complete,,,,2021 Nov 09 12:00:00 AM,2023 Oct 04 05:47:54 PM,2023 Oct 05 11:01:40 PM,30.30635372108912,-97.71873937220548,POINT (-97.718739372205 30.306353721089)
"645,690","602,456",D3-1,OHMFIELD CT,Street Name,,SIGN_GUIDE,Street Name,E,1.0,2.0,1.0,QC Complete,,,,2021 Nov 18 12:00:00 AM,2023 Oct 03 08:42:58 PM,2023 Oct 05 11:01:40 PM,30.18113144746537,-97.89138699945876,POINT (-97.891386999459 30.181131447465)
"672,525","604,832",D3-1,OAK MEADOW DR,Street Name,,SIGN_GUIDE,Street Name,SW,1.0,2.0,1.0,QC Complete,,,,2021 Nov 30 12:00:00 AM,2023 Oct 04 02:09:31 PM,2024 Jan 03 03:37:54 PM,30.23253310422558,-97.87671145027042,POINT (-97.87671145027 30.232533104226)
"803,626","802,373",P1,,Sign Post,10 ft,SIGN_POLE,,,0.0,1.0,1.0,QC Complete,Install,2025 Jan 28 04:27:00 PM,,,2025 Jan 31 01:40:57 PM,2025 Feb 28 08:47:11 PM,30.172302088174185,-97.61392261503585,POINT (-97.613922615036 30.172302088174)
"63,300","37,453",D3-1,CREEK BEND DR,Street Name,,SIGN_GUIDE,Street Name,SE,1.0,2.0,1.0,QC Complete,,,,2021 Oct 29 12:00:00 AM,2022 Jun 30 02:03:59 PM,2023 Mar 28 06:16:23 PM,30.182360712313763,-97.7459595380508,POINT (-97.745959538051 30.182360712314)
"733,297","701,400",W16-9P,AHEAD,Sign Post,,SIGN_WARNING,Supplemental Plaque,SW,1.0,2.0,1.0,QC Complete,,,,2021 Nov 20 12:00:00 AM,2023 Oct 04 05:47:54 PM,2023 Oct 05 11:01:40 PM,30.30566726617748,-97.76488062230833,POINT (-97.764880622308 30.305667266177)
"733,631","700,777",R2-5bP,NEIGHBORHOOD,Neighborhood,,Regulatory,Supplemental Plaque,NE,1.0,2.0,1.0,QC Complete,,,,2021 Nov 20 12:00:00 AM,2023 Oct 04 05:47:54 PM,2024 Jul 03 02:52:19 PM,30.29636280990117,-97.76723489577364,POINT (-97.767234895774 30.296362809901)
"594,011","593,298",R2-5bP,NEIGHBORHOOD,Neighborhood,,Regulatory,Speed Limit,N,1.0,1.0,1.0,QC Complete,,2023 May 17 02:02:00 PM,,,2023 May 31 05:03:15 PM,2024 Jul 03 02:52:19 PM,30.304654030236247,-97.66485442834647,POINT (-97.664854428346 30.304654030236)
"743,503","705,131",D3-1,GASTON AVE,Street Name,,SIGN_GUIDE,Street Name,NE,1.0,2.0,1.0,QC Complete,,,,2021 Nov 17 12:00:00 AM,2023 Oct 04 06:08:15 PM,2023 Oct 05 11:01:40 PM,30.29663353381546,-97.75556568946268,POINT (-97.755565689463 30.296633533815)
"677,130","612,053",D3-1,JONES RD,Street Name,,SIGN_GUIDE,Street Name,SW,1.0,2.0,1.0,QC Complete,,,,2021 Feb 12 12:00:00 AM,2023 Oct 04 02:09:31 PM,2024 Jan 03 03:37:54 PM,30.22651228108347,-97.80552349677625,POINT (-97.805523496776 30.226512281083)
"164,407","134,406",R7-2,NO PARKING BOTH ARROWS,Street Light Post,,Regulatory,Parking,NW,1.0,2.0,1.0,QC Complete,,,,2021 Oct 21 12:00:00 AM,2022 Sep 16 12:49:45 PM,2023 Mar 28 06:16:23 PM,30.33597034208352,-97.67235550418432,POINT (-97.672355504184 30.335970342084)
"167,973","136,183",D3-1,BANYON ST,Street Name,,Guide,Street Name,SW,1.0,2.0,1.0,QC Complete,,,,2021 Oct 22 12:00:00 AM,2022 Sep 16 12:49:45 PM,2023 Mar 28 06:16:23 PM,30.3423881542896,-97.71616584436124,POINT (-97.716165844361 30.34238815429)
"260,882","200,680",,,Sign Post,,SIGN_POLE,,NW,1.0,2.0,1.0,QC Complete,,,,2021 Oct 16 12:00:00 AM,2022 Oct 20 09:23:54 PM,2022 Nov 01 12:48:27 PM,30.37441371533351,-97.7093792312664,POINT (-97.709379231266 30.374413715334)
"652,990","605,748",,,Sign Post,,SIGN_POLE,,,1.0,2.0,1.0,,,,,2021 Nov 14 12:00:00 AM,2023 Oct 03 08:42:58 PM,2023 Oct 03 08:42:58 PM,30.178482990004078,-97.83458219135396,POINT (-97.834582191354 30.178482990004)
"687,779","610,820",D3-1,ROCK TERRACE DR,Street Name,,SIGN_GUIDE,Street Name,NE,1.0,3.0,1.0,QC Complete,,,,2021 Nov 21 12:00:00 AM,2023 Oct 04 02:28:08 PM,2024 Jan 03 03:37:54 PM,30.251826327856723,-97.78766554144526,POINT (-97.787665541445 30.251826327857)
"262,160","202,440",,,Sign Post,,SIGN_POLE,,NE,1.0,2.0,1.0,QC Complete,,,,2021 Oct 17 12:00:00 AM,2022 Oct 20 09:23:54 PM,2022 Nov 01 12:48:27 PM,30.35988868195017,-97.71106522566772,POINT (-97.711065225668 30.35988868195)
"62,637","37,091",R7-2,NO PARKING BOTH ARROWS TOW-AWAY ZONE,Sign Post,,SIGN_REGULATORY,Parking,SW,1.0,2.0,1.0,QC Complete,,,,2021 Oct 29 12:00:00 AM,2022 Jun 30 02:03:59 PM,2023 Mar 28 06:16:23 PM,30.306247547643576,-97.70743642379936,POINT (-97.707436423799 30.306247547644)
"744,610","705,479",,,Sign Post,,SIGN_POLE,,,1.0,2.0,1.0,,,,,2021 Nov 17 12:00:00 AM,2023 Oct 04 06:08:15 PM,2023 Oct 04 06:08:15 PM,30.3033475362938,-97.7542776493428,POINT (-97.754277649343 30.303347536294)
"715,359","696,513",D3-1,FORT BRANCH BLVD,Street Name,,SIGN_GUIDE,Street Name,E,1.0,2.0,1.0,QC Complete,,,,2021 Jul 11 12:00:00 AM,2023 Oct 04 05:30:35 PM,2023 Oct 05 11:01:40 PM,30.27975225197534,-97.68072950943768,POINT (-97.680729509438 30.279752251975)
"740,220","710,788",R8-3,NO PARKING LEFT ARROW,Sign Post,,SIGN_REGULATORY,Parking,SW,1.0,2.0,1.0,QC Complete,,,,2021 Nov 17 12:00:00 AM,2023 Oct 04 05:47:54 PM,2023 Oct 05 11:01:40 PM,30.296146629709416,-97.74391749818734,POINT (-97.743917498187 30.296146629709)
"799,281","800,126",R2-5P,UNLESS OTHERWISE POSTED,Unless Otherwise Posted,24 x 18 in,SIGN_REGULATORY,,W,1.0,1.0,1.0,QC Complete,Install,2024 Nov 26 04:58:00 PM,,,2024 Dec 06 01:16:43 PM,2024 Dec 17 05:54:08 PM,30.1414027763508,-97.78016790520236,POINT (-97.780167905202 30.141402776351)
"72,707","36,660",D3-1,E 51ST ST,Street Name,,SIGN_GUIDE,Street Name,SW,1.0,2.0,1.0,QC Complete,,,,2021 Oct 29 12:00:00 AM,2022 Jun 30 02:03:59 PM,2023 Mar 28 06:16:23 PM,30.30464871095674,-97.70085452506342,POINT (-97.700854525063 30.304648710957)
"227,969","194,012",W16-9P,AHEAD,Street Light Post,,SIGN_WARNING,Supplemental Plaque,NE,1.0,2.0,1.0,QC Complete,,,,2021 Oct 13 12:00:00 AM,2022 Oct 20 09:06:25 PM,2023 Mar 28 03:51:51 PM,30.412376914769645,-97.68598596741832,POINT (-97.685985967418 30.41237691477)
"629,835","615,337",D3-1,PINEHURST DR,Street Name,,SIGN_GUIDE,Street Name,NW,1.0,2.0,1.0,QC Complete,,,,2021 Nov 16 12:00:00 AM,2023 Oct 03 08:29:37 PM,2023 Oct 05 11:01:40 PM,30.14371244378519,-97.78825802194622,POINT (-97.788258021946 30.143712443785)
"693,590","612,594",R15-1,RAILROAD CROSSBUCK,Signal Post,,SIGN_REGULATORY,Uncategorized,SE,1.0,2.0,1.0,QC Complete,,,,2021 Nov 19 12:00:00 AM,2023 Oct 04 02:28:08 PM,2023 Dec 06 09:50:01 PM,30.24908560725509,-97.76503553341344,POINT (-97.765035533413 30.249085607255)
"570,894","279,555",D3-1,GROVER AVE,Street Name,,SIGN_GUIDE,Street Name,SW,1.0,2.0,1.0,QC Complete,,,,2021 Nov 05 12:00:00 AM,2023 Jan 04 02:03:25 PM,2023 Mar 28 06:16:23 PM,30.34840276627393,-97.72306987204104,POINT (-97.723069872041 30.348402766274)
"171,583","142,783",R10-6,STOP HERE ON RED,Sign Post,,Regulatory,Traffic Signal,SW,1.0,2.0,1.0,QC Complete,,,,2021 Oct 22 12:00:00 AM,2022 Sep 16 12:54:11 PM,2023 Mar 28 06:16:23 PM,30.35877811316442,-97.73025633612036,POINT (-97.73025633612 30.358778113164)
"576,327","271,451",,,Sign Post,,SIGN_POLE,,,1.0,2.0,1.0,QC Complete,,,,2021 Oct 30 12:00:00 AM,2023 Jan 04 02:13:26 PM,2023 Jan 05 04:05:41 PM,30.26284676343952,-97.73128939519572,POINT (-97.731289395196 30.26284676344)
"550,924","271,494",D3-1,NAVASOTA ST,Sign Post,,SIGN_GUIDE,Street Name,NW,1.0,2.0,1.0,QC Complete,,,,2021 Oct 30 12:00:00 AM,2023 Jan 03 09:13:32 PM,2024 Feb 08 08:28:32 PM,30.25569242750081,-97.73222625204072,POINT (-97.732226252041 30.255692427501)
"571,168","279,668",D3-1,YATES AVE,Street Name,,SIGN_GUIDE,Street Name,SE,1.0,2.0,1.0,QC Complete,,,,2021 Nov 05 12:00:00 AM,2023 Jan 04 02:03:25 PM,2023 Mar 28 06:16:23 PM,30.34523816402879,-97.72943786973906,POINT (-97.729437869739 30.345238164029)
"217,357","187,626",,,Sign Post,,SIGN_POLE,,,1.0,2.0,1.0,QC Complete,,,,2021 Oct 08 12:00:00 AM,2022 Oct 20 09:01:31 PM,2022 Oct 31 04:51:03 PM,30.44946202393447,-97.7677423136286,POINT (-97.767742313629 30.449462023934)
"62,033","36,854",D3-1,JAMES WHEAT ST,Street Name,,SIGN_GUIDE,Street Name,NW,1.0,2.0,1.0,QC Complete,,,,2021 Oct 29 12:00:00 AM,2022 Jun 30 02:03:59 PM,2023 Mar 28 06:16:23 PM,30.30000242207273,-97.7084045422474,POINT (-97.708404542247 30.300002422073)
"227,940","193,998",W14-2,NO OUTLET,Street Light Post,,SIGN_WARNING,Cross Section,NW,1.0,2.0,1.0,QC Complete,,,,2021 Oct 13 12:00:00 AM,2022 Oct 20 09:06:25 PM,2023 Mar 28 06:16:23 PM,30.419244158181563,-97.68307013618484,POINT (-97.683070136185 30.419244158182)
"792,932","617,681",R2-5P,UNLESS OTHERWISE POSTED,Unless Otherwise Posted,,SIGN_REGULATORY,,S,1.0,1.0,1.0,QC Complete,Install,2024 Sep 03 01:55:00 PM,,,2024 Sep 10 12:56:33 PM,2024 Sep 10 08:36:42 PM,30.14436638829769,-97.8068611868451,POINT (-97.806861186845 30.144366388298)
"806,378","38,234",TPWR-224,PARKATXAPP.COM OR TEXT PARKING TO 30843 TO PAY,Park ATX Text to Park (Plaque),10 x 15 in,SIGN_GUIDE,Parking,W,1.0,1.0,1.0,QC Complete,Install,2024 Jun 08 02:05:00 PM,,,2025 Feb 25 04:41:50 PM,2025 Apr 25 08:46:51 PM,30.24983274856309,-97.75082454072307,POINT (-97.750824540723 30.249832748563)
"664,585","606,157",W1-1L,LEFT TURN,Sign Post,,SIGN_WARNING,Uncategorized,NE,1.0,2.0,1.0,QC Complete,,,,2021 Nov 30 12:00:00 AM,2023 Oct 04 01:54:28 PM,2023 Dec 06 09:50:01 PM,30.22892007599337,-97.86753768054824,POINT (-97.867537680548 30.228920075993)
"733,011","706,598",R7-201P,TOW-AWAY ZONE,Sign Post,,SIGN_REGULATORY,Parking,SW,1.0,2.0,1.0,QC Complete,,,,2021 Sep 11 12:00:00 AM,2023 Oct 04 05:47:54 PM,2023 Oct 05 11:01:40 PM,30.29783089944187,-97.73346003939596,POINT (-97.733460039396 30.297830899442)
"772,766","769,955",R7-201P,TOW-AWAY ZONE,Sign Post,10 x 15 in,SIGN_REGULATORY,Parking,W,1.0,1.0,1.0,QC Complete,,2023 Dec 14 01:34:00 PM,,,2024 Jan 02 07:06:19 PM,2024 Apr 09 01:46:23 PM,30.197261795442675,-97.77870519595044,POINT (-97.77870519595 30.197261795443)
"748,395","710,249",R7-20,PAY TO PARK RIGHT ARROW,Sign Post,,SIGN_REGULATORY,Parking,NW,1.0,2.0,1.0,QC Complete,,,,2021 Apr 12 12:00:00 AM,2023 Oct 04 06:08:15 PM,2023 Oct 05 11:01:40 PM,30.290815140515825,-97.74586518403795,POINT (-97.745865184038 30.290815140516)
"736,204","706,970",R8-3,NO PARKING LEFT ARROW,Sign Post,,SIGN_REGULATORY,Parking,NW,1.0,2.0,1.0,QC Complete,,,,2021 Sep 11 12:00:00 AM,2023 Oct 04 05:47:54 PM,2023 Oct 05 11:01:40 PM,30.31239004741813,-97.73909241483626,POINT (-97.739092414836 30.312390047418)
"170,969","142,501",R7-201P,TOW-AWAY ZONE,Sign Post,,Regulatory,Parking,SE,1.0,2.0,1.0,QC Complete,,,,2021 Oct 22 12:00:00 AM,2022 Sep 16 12:54:11 PM,2023 Mar 28 06:16:23 PM,30.3467269847072,-97.69462797686268,POINT (-97.694627976863 30.346726984707)
"732,692","701,194",Non-MUTCD,HANDICAPPED PARKING,Sign Post,,SIGN_GUIDE,Uncategorized,NW,1.0,2.0,1.0,QC Complete,,,,2021 Nov 20 12:00:00 AM,2023 Oct 04 05:47:54 PM,2023 Oct 05 11:01:40 PM,30.30051840925298,-97.76478116175998,POINT (-97.76478116176 30.300518409253)
"712,808","695,369",D3-1,SALINA ST,Street Name,,SIGN_GUIDE,Street Name,SW,1.0,2.0,1.0,QC Complete,,,,2021 Jun 11 12:00:00 AM,2023 Oct 04 05:30:35 PM,2023 Oct 05 11:01:40 PM,30.277576378307216,-97.72184713515894,POINT (-97.721847135159 30.277576378307)
"658,604","604,253",,,Sign Post,,SIGN_POLE,,,1.0,2.0,1.0,,,,,2021 Nov 30 12:00:00 AM,2023 Oct 04 01:54:28 PM,2023 Oct 04 01:54:28 PM,30.21617134025628,-97.84852641508267,POINT (-97.848526415083 30.216171340256)
"82,816","82,526",P1,Square,"342: POLE, ''Square"", 10 ft",10 ft,SIGN_POLE,,,0.0,,1.0,QC Complete,,2022 Aug 26 07:25:00 AM,,,2022 Sep 09 05:23:09 PM,2022 Sep 09 07:21:25 PM,30.39102200568925,-97.84273291056238,POINT (-97.842732910562 30.391022005689)
"221,028","190,760",W8-2,DIP,Street Light Post,,SIGN_WARNING,Surface Condition,NE,1.0,2.0,1.0,QC Complete,,,,2021 Oct 09 12:00:00 AM,2022 Oct 20 09:01:31 PM,2023 Mar 28 06:16:23 PM,30.42482479518705,-97.76364170742784,POINT (-97.763641707428 30.424824795187)
"627,925","612,991",,,Sign Post,,SIGN_POLE,,,1.0,2.0,1.0,,,,,2021 Nov 10 12:00:00 AM,2023 Oct 03 08:29:37 PM,2023 Oct 03 08:29:37 PM,30.23597235224921,-97.69626210920715,POINT (-97.696262109207 30.235972352249)
"599,835","702,249",R10-15R,RIGHT TURNING VEHICLES STOP FOR PEDS AND BIKES,Signal Post,36 x 36 in,SIGN_REGULATORY,Pedestrian,W,1.0,1.0,1.0,QC Complete,Install,2023 Jul 26 03:25:00 PM,,,2023 Sep 05 03:36:20 PM,2023 Oct 13 01:23:46 PM,30.320953444360104,-97.72932355475562,POINT (-97.729323554756 30.32095344436)
"650,979","621,340",R3-5a,STRAIGHT ONLY,Signal Post,,SIGN_REGULATORY,Lane Control,NW,2.0,2.0,1.0,QC Complete,,,,2021 Nov 16 12:00:00 AM,2023 Oct 03 08:42:58 PM,2023 Oct 05 11:01:40 PM,30.17271488444528,-97.79957144964288,POINT (-97.799571449643 30.172714884445)
"204,544","185,498",D3-1,FALLON CV,Street Name,,SIGN_GUIDE,Street Name,N,1.0,2.0,1.0,QC Complete,,,,2021 Oct 06 12:00:00 AM,2022 Oct 20 08:55:36 PM,2023 Mar 28 06:16:23 PM,30.49089352884252,-97.7685367525514,POINT (-97.768536752551 30.490893528843)
"671,016","610,506",W3-1,STOP AHEAD,Street Light Post,,SIGN_WARNING,Uncategorized,NE,1.0,3.0,1.0,QC Complete,,,,2021 Nov 20 12:00:00 AM,2023 Oct 04 02:09:31 PM,2023 Dec 06 09:50:01 PM,30.208534021848727,-97.81145493709896,POINT (-97.811454937099 30.208534021849)
"584,243","280,458",,,Sign Post,,SIGN_POLE,,,1.0,2.0,1.0,QC Complete,,,,2021 Nov 06 12:00:00 AM,2023 Jan 04 02:19:19 PM,2023 Jan 05 04:12:24 PM,30.2756276674731,-97.7076252454011,POINT (-97.707625245401 30.275627667473)
"804,317","804,315",P2,Square,Sign Post,11 ft,SIGN_POLE,,,0.0,1.0,1.0,QC Complete,Install,2024 Aug 15 06:44:00 PM,,,2025 Feb 04 11:14:42 PM,2025 Feb 04 11:14:42 PM,30.31077751288837,-97.72729724625594,POINT (-97.727297246256 30.310777512888)
"668,435","601,122",D3-1,OAK ALY,Street Name,,SIGN_GUIDE,Street Name,NW,1.0,2.0,1.0,QC Complete,,,,2021 Nov 14 12:00:00 AM,2023 Oct 04 02:09:31 PM,2024 Jan 03 03:37:54 PM,30.198616449615923,-97.83130830585884,POINT (-97.831308305859 30.198616449616)
"569,612","278,946",W16-7PL,DOWNWARD DIAGONAL LEFT ARROW,Sign Post,,SIGN_WARNING,Supplemental Plaque,NE,1.0,2.0,1.0,QC Complete,,,,2021 Nov 02 12:00:00 AM,2023 Jan 04 02:03:25 PM,2023 Jul 28 02:51:47 PM,30.237332562556823,-97.70229520768596,POINT (-97.702295207686 30.237332562557)
"749,222","711,015",D3-1,W MARTIN LUTHER KING JR BLVD,Street Name,,SIGN_GUIDE,Street Name,SW,1.0,2.0,1.0,QC Complete,,,,2021 Apr 12 12:00:00 AM,2023 Oct 04 06:08:15 PM,2023 Oct 05 11:01:40 PM,30.28320441153784,-97.74677983752632,POINT (-97.746779837526 30.283204411538)
"724,090","703,425",D3-1,CRESTWAY DR,Street Name,,SIGN_GUIDE,Street Name,NE,1.0,2.0,1.0,QC Complete,,,,2021 Aug 11 12:00:00 AM,2023 Oct 04 05:30:35 PM,2023 Oct 05 11:01:40 PM,30.33309919896151,-97.76364992794856,POINT (-97.763649927949 30.333099198962)
"161,728","133,161",R7-201P,TOW-AWAY ZONE,Sign Post,,Regulatory,Parking,E,1.0,2.0,1.0,QC Complete,,,,2021 Oct 21 12:00:00 AM,2022 Sep 16 12:49:45 PM,2023 Mar 28 06:16:23 PM,30.325589183732003,-97.68859296139053,POINT (-97.688592961391 30.325589183732)
"753,279","706,193",,,Sign Post,,SIGN_POLE,,,1.0,2.0,1.0,,,,,2021 Nov 17 12:00:00 AM,2023 Oct 04 06:16:35 PM,2023 Oct 04 06:16:35 PM,30.28244879721404,-97.7541021989253,POINT (-97.754102198925 30.282448797214)
"585,813","275,799",,,Sign Post,,SIGN_POLE,,,1.0,2.0,1.0,QC Complete,,,,2021 Oct 30 12:00:00 AM,2023 Jan 04 02:19:19 PM,2023 Jan 05 04:21:18 PM,30.286061457250085,-97.68169635836462,POINT (-97.681696358365 30.28606145725)
"168,055","136,220",D3-1,GARDEN VIEW DR,Street Name,,Guide,Street Name,SE,1.0,2.0,1.0,QC Complete,,,,2021 Oct 18 12:00:00 AM,2022 Sep 16 12:54:11 PM,2023 Mar 28 06:16:23 PM,30.287460593160223,-97.65958687912614,POINT (-97.659586879126 30.28746059316)
"767,814","777,146",R7-22,PAY TO PARK MOBILE APP ONLY PARK ATX ZONE 40017 MON-SAT: 8AM-12MID SUN: 1PM-12MID BOTH ARROWS,Pay To Park Zone 40017,15 x 21 in,SIGN_REGULATORY,Parking,W,1.0,1.0,1.0,QC Complete,Install,2023 Sep 24 05:14:00 AM,,,2023 Oct 24 07:50:12 PM,2024 Apr 09 01:46:23 PM,30.244335768544296,-97.75148534276802,POINT (-97.751485342768 30.244335768544)
"637,704","618,459",W14-2aR,NO OUTLET,Sign Post,,SIGN_WARNING,Cross Section,SE,1.0,2.0,1.0,QC Complete,,,,2021 Nov 11 12:00:00 AM,2023 Oct 03 08:29:37 PM,2023 Oct 05 11:01:40 PM,30.237867559951354,-97.69615868534804,POINT (-97.696158685348 30.237867559951)
"550,477","271,307",D3-1,WEBBERVILLE RD,Street Name,,SIGN_GUIDE,Street Name,SE,1.0,2.0,1.0,QC Complete,,,,2021 Nov 06 12:00:00 AM,2023 Jan 03 09:13:32 PM,2023 Mar 28 06:16:23 PM,30.26177368947115,-97.71657544804432,POINT (-97.716575448044 30.261773689471)
"627,062","614,410",R8-3,NO PARKING BOTH ARROWS,Sign Post,,SIGN_REGULATORY,Parking,NW,1.0,2.0,1.0,QC Complete,,,,2021 Nov 10 12:00:00 AM,2023 Oct 03 08:29:37 PM,2023 Oct 05 11:01:40 PM,30.22151718001165,-97.70131249211016,POINT (-97.70131249211 30.221517180012)
